epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,1175.97,1.06228,1.46282,0.99004,0.06395,0.45547,0.17803,0.10152,0.01985,0.83312,1.15764,0.82026,0.03545,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,1200.31,1.0512,1.45607,0.99072,0.06426,0.55549,0.18952,0.10819,0.0216,0.80174,1.16154,0.81021,0.03501,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,1224.5,1.04152,1.44347,0.98636,0.06233,0.54915,0.19009,0.10501,0.02167,0.79044,1.12705,0.8027,0.0374,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,1249.22,1.0411,1.45477,0.9801,0.06011,0.55272,0.18193,0.11687,0.02478,0.75809,1.10455,0.7901,0.03514,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,1273.34,1.0416,1.43919,0.97315,0.06129,0.55458,0.1777,0.10771,0.02172,0.76894,1.14312,0.80002,0.03573,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,1297.61,1.03903,1.42969,0.97094,0.06297,0.47565,0.19311,0.11465,0.02723,0.75868,1.11831,0.78195,0.03056,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,1322.22,1.02277,1.43415,0.96618,0.06114,0.5441,0.18436,0.11541,0.02386,0.74643,1.0971,0.77976,0.03505,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,1346.75,1.02529,1.42684,0.95833,0.05838,0.47475,0.19234,0.11171,0.02315,0.74877,1.10219,0.77652,0.0317,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,1370.88,1.02271,1.41014,0.95472,0.0538,0.57466,0.20011,0.12379,0.02587,0.74979,1.08906,0.77747,0.02914,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,1395.19,1.01686,1.41463,0.95594,0.05789,0.60895,0.18648,0.12477,0.02797,0.74676,1.10379,0.77984,0.03371,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
